geocode	commune	pop1950	pop1960	pop1970	pop1980	pop1990	pop1995	pop2000	pop2005	pop2010	pop2014	pop2015	pop2016	etbl14	s1_etbl14	s2_etbl14	s3_etbl14	etp14	s1_etp14	s2_etp14	s3_etp14
5655	Yens	557	515	615	745	881	899	945	978	1065	1327	1405	1388	91	17	16	58	319.1630199	69.25	122.1515061	127.7615138
5661	Boulens	168	146	135	165	185	215	218	234	283	313	325	368	22	7	6	9	57.399967	17.5	21.7953405	18.1046265
5663	Bussy-sur-Moudon	181	184	154	170	195	179	189	184	179	197	198	208	15	7	2	6	14.2937766	8.5	1.424498	4.3692786
5665	Chavannes-sur-Moudon	269	234	190	186	200	212	200	204	210	233	224	224	23	14	1	8	41.330682	28.5	4.9001303	7.9305517
5669	Curtilles	285	284	245	252	259	294	288	272	309	306	311	309	25	9	7	9	47.7486444	17.75	16.2915657	13.7070787
5671	Dompierre	275	245	209	197	232	244	251	246	251	247	247	242	25	12	5	8	52.5844837	21.25	21.6936849	9.6407988
5673	Hermenches	245	227	195	255	299	280	278	308	352	376	382	379	22	9	3	10	43.2775347	17.5	2.7391645	23.0383702
5674	Lovatens	178	163	145	105	124	134	146	150	137	140	151	143	19	8	5	6	26.0338677	17.75	3.480737	4.8031307
5675	Lucens	2293	2266	2774	2507	2673	2834	2749	2868	3260	3857	3890	4009	241	45	52	144	1084.009648	87.9776482	575.3887405	420.6432593
5678	Moudon	2513	2785	3733	3589	4191	4339	4264	4327	4890	5656	5770	6003	417	23	93	301	2127.274165	64.350642	659.1588602	1403.764663
5680	Ogens	226	215	194	181	201	214	230	256	271	261	283	296	24	8	5	11	46.6971645	12.75	19.6313228	14.3158417
5683	Prévonloup	149	122	120	117	122	130	116	132	139	173	172	166	17	5	4	8	25.3357708	10.75	8.582519	6.0032518
5684	Rossenges	62	52	53	45	47	47	51	46	57	63	65	60	11	4	1	6	7.2929495	3	0.7474173	3.5455322
5688	Syens	122	121	107	99	111	117	114	142	120	126	139	145	11	4	4	3	23.878666	4.75	17.748666	1.38
5690	Villars-le-Comte	158	137	117	119	131	125	124	141	151	153	150	143	14	5	1	8	13.9507651	7.75	0.8527604	5.3480047
5692	Vucherens	286	250	263	300	431	419	444	502	535	532	543	557	41	10	2	29	141.0671705	14.75	3.1141418	123.2030287
5693	Montanaire	1859	1607	1484	1602	1762	1896	1954	2080	2251	2436	2421	2500	203	66	38	99	482.5723286	136.5	118.5181235	227.5542051
5701	Arnex-sur-Nyon	85	69	68	64	115	112	106	106	135	190	208	214	15	4	1	10	45.8109909	8.675321	0.9917472	36.1439227
5702	Arzier-Le Muids	355	320	457	882	1406	1607	1781	2014	2220	2442	2506	2565	148	10	17	121	267.7642001	18.6876605	35.4916607	213.5848789
5703	Bassins	313	299	327	459	727	764	812	969	1134	1318	1320	1311	78	14	15	49	142.2218895	29.2629815	40.2060176	72.7528904
5704	Begnins	752	741	932	1069	1179	1251	1282	1362	1636	1698	1802	1856	124	16	15	93	313.7353188	43.75	35.1845233	234.8007955
5705	Bogis-Bossey	117	122	180	242	669	766	740	783	854	830	830	827	56	5	3	48	91.8084781	9.5	8.3390073	73.9694708
5706	Borex	181	183	333	491	705	810	855	872	845	919	1049	1099	54	8	6	40	70.6074541	12.5	6.6316584	51.4757957
5707	Chavannes-de-Bogis	131	123	136	285	862	933	962	914	952	1125	1155	1153	132	6	17	109	948.3281697	7	75.4261502	865.9020195
5708	Chavannes-des-Bois	52	37	74	210	289	398	406	392	520	797	807	850	20	1	1	18	28.6453036	4.5	1	23.1453036
5709	Chéserex	252	222	278	473	751	954	1030	1186	1210	1225	1174	1222	74	9	7	58	153.4673545	13.7727405	20.1150617	119.5795523
5710	Coinsins	149	136	181	225	324	354	348	376	391	427	435	490	55	4	17	34	266.8938925	6	104.7962943	156.0975982
5711	Commugny	331	421	755	1252	1846	2095	2262	2365	2439	2524	2591	2561	134	7	11	116	221.9681261	20.75	21.779531	179.4385951
5712	Coppet	610	775	1030	1374	1672	2043	2181	2466	2886	2892	2936	2942	216	3	14	199	601.4558274	3.2629815	63.8077114	534.3851345
5713	Crans-près-Céligny	364	406	679	1181	1555	1703	1855	1822	1958	2048	2044	2059	129	5	8	116	271.4488664	11.2376605	25.5725573	234.6386486
5714	Crassier	270	276	296	440	499	640	700	962	1086	1114	1141	1172	71	5	11	55	334.4788912	14.600642	140.6141887	179.2640605
5715	Duillier	249	281	321	434	643	825	865	974	1046	1014	998	1039	76	7	14	55	191.2889053	16.5	44.3476848	130.4412205
5716	Eysins	277	303	366	544	747	824	813	927	1229	1462	1469	1482	133	9	12	112	822.6725392	23.5	72.7790863	726.3934529
5717	Founex	567	707	897	1223	1619	1985	2277	2636	2992	3276	3372	3410	154	10	16	128	650.2866083	61.3598779	92.8229634	496.103767
5718	Genolier	282	254	347	918	1299	1444	1476	1586	1803	1875	1890	1895	166	6	12	148	771.3620742	17.5	47.07938	706.7826942
5719	Gingins	374	350	473	630	905	1003	1038	1042	1123	1217	1204	1195	86	12	16	58	271.0305018	25.1883025	135.3623446	110.4798547
5720	Givrins	221	229	281	493	700	783	785	867	924	948	971	1000	56	9	12	35	143.5433401	22.3376605	42.3796693	78.8260103
5721	Gland	1180	1530	2371	4734	6902	8100	9600	10524	11566	12482	12663	12829	970	12	150	808	5018.677184	32.0036369	665.3539549	4321.319592
5722	Grens	154	137	167	186	208	236	307	341	363	366	380	377	35	6	10	19	111.1677379	17.7	56.8000617	36.6676762
5723	Mies	492	638	691	850	1098	1307	1363	1482	1653	1775	1778	1791	150	4	10	136	643.5502048	8.3376605	44.8705817	590.3419626
5724	Nyon	6074	7468	10935	12297	13706	14987	15589	16841	18303	19632	19861	20047	2135	13	194	1928	12703.17755	33.126605	1699.109334	10970.94161
5725	Prangins	920	1174	1426	1986	2465	2768	3045	3464	3839	3930	3976	4011	167	7	14	146	1681.901763	17.7629815	1086.647524	577.491257
5726	La Rippe	334	278	294	377	645	738	924	952	1025	1057	1104	1120	57	10	6	41	116.2601307	23.75	19.9718534	72.5382773
5727	Saint-Cergue	434	506	524	484	1246	1590	1604	1772	2035	2340	2406	2481	147	5	20	122	242.1829482	14.9679025	37.8392524	189.3757933
5728	Signy-Avenex	136	126	152	273	316	335	385	412	430	457	481	516	86	8	4	74	596.3018895	29.25	11.7437504	555.3081391
5729	Tannay	239	347	424	660	954	1046	1113	1248	1385	1511	1448	1430	88	3	9	76	144.9161426	7.75	17.4713124	119.6948302
5730	Trélex	306	296	390	709	858	917	1093	1161	1350	1397	1394	1414	82	9	9	64	148.5132545	17.75	38.4821389	92.2811156
5731	Le Vaud	179	152	163	447	678	858	937	1083	1222	1238	1243	1260	76	9	22	45	150.6619352	12.39	53.460337	84.8115982
5732	Vich	246	256	273	307	543	649	699	711	750	763	882	958	89	3	11	75	619.2914181	7.5	274.5262871	337.265131
5741	L'Abergement	193	168	166	153	179	200	242	250	251	250	251	240	19	7	4	8	39.9833214	15.8895866	15.3839965	8.7097383
5742	Agiez	248	208	189	202	206	228	221	231	253	297	308	293	28	11	4	13	51.7532758	21.5	16.8671666	13.3861092
5743	Arnex-sur-Orbe	538	473	470	481	543	575	530	547	587	615	625	632	45	20	11	14	121.4216266	46.75	43.1454252	31.5262014
5744	Ballaigues	931	901	896	873	892	896	878	897	928	1037	1069	1101	66	10	19	37	1051.953956	27.75	797.0900101	227.113946
5745	Baulmes	1010	869	797	818	884	936	964	952	986	1019	1034	1055	86	16	19	51	282.428312	27.25	188.3066483	66.8716637
5746	Bavois	558	485	405	426	496	673	720	702	767	919	939	939	46	15	8	23	122.0448176	28.75	15.0837886	78.211029
5747	Bofflens	197	167	155	151	167	165	162	153	187	189	187	188	26	11	6	9	39.8622764	19.2536369	8.716829	11.8918105
5748	Bretonnières	220	190	175	167	176	193	206	212	224	236	252	258	18	7	3	8	28.8633422	14.25	5.7554955	8.8578467
5749	Chavornay	1887	1828	1871	1962	2659	2828	3229	3493	4048	4531	4672	4817	252	34	39	179	1401.36456	104.3269579	793.8544344	503.1831679
5750	Les Clées	150	156	114	133	150	157	158	153	164	176	186	176	16	3	5	8	23.2681878	5.5	10.0784855	7.6897023
5752	Croy	261	240	247	250	258	271	280	301	324	321	335	344	31	3	7	21	68.5714289	3.5	18.6428985	46.4285304
5754	Juriens	236	210	202	213	227	259	241	258	269	307	302	302	24	8	5	11	43.3625875	14	18.2183374	11.1442501
5755	Lignerolle	246	275	279	267	294	320	335	374	386	391	394	405	36	10	4	22	57.2918353	21.9383025	8.1453104	27.2082224
5756	Montcherand	268	254	247	260	315	384	405	397	436	471	474	469	23	6	6	11	70.0517096	15.75	26.8622079	27.4395017
5757	Orbe	3360	3714	4342	3824	4567	4732	4764	5251	6130	6738	6767	6805	450	20	79	351	3957.002478	45.600642	1594.326739	2317.075097
5758	La Praz	133	129	109	119	126	126	124	150	166	156	160	159	14	5	3	6	19.8700545	10	5.3328811	4.5371734
5759	Premier	144	147	143	147	201	210	206	207	190	182	185	196	20	6	6	8	28.9664608	11.5876605	11.5389339	5.8398664
5760	Rances	413	367	333	330	411	406	415	440	432	436	460	473	41	10	6	25	65.0889068	21.5876605	12.6875456	30.8137007
5761	Romainmôtier-Envy	373	341	315	351	423	388	413	455	470	527	525	546	42	4	7	31	109.7184675	8.75	54.010087	46.9583805
5762	Sergey	95	94	74	75	89	91	110	116	143	145	144	140	11	3	2	6	19.8837353	4.5	11.4099077	3.9738276
5763	Valeyres-sous-Rances	420	344	301	297	407	482	503	481	518	584	600	623	51	17	9	25	124.0256566	31.25	55.9132565	36.8624001
